Arm Index,Mean,Variance
0,0.709528011978584,25.2200527035088
1,0.5714433205620195,46.48955954958451
2,0.13674914104445646,49.15212022707192
3,0.07763963883473624,37.978469038723624
4,0.16838206543621193,35.75176500086394
5,0.5959442325213413,43.32739915920317
6,0.02482313053249119,26.66058651627195
7,0.6224899228664966,33.81281677745785
8,0.7200472432136338,44.35795574371624
9,0.0874322521259282,29.41846162962413
10,0.13257695943049685,31.49241799633485
11,0.49505410315588494,24.55510369996258
12,0.1343926356538273,23.155439816923618
13,0.41958584737177596,49.82443472474172
14,0.5188301918978543,45.552230394428236
15,0.3876620285707102,30.428892792996145
16,0.5217708728516045,47.97529163731713
17,0.7998526220982571,28.650025630886724
18,0.2392675257434389,24.561925953382136
19,0.692603348732002,28.332165643892736
20,0.9468838493171372,32.85800202868103
21,0.6886367216953436,41.38991271996474
22,0.9922079790646414,41.077427758168916
23,0.6398373144459958,36.461996486967394
24,0.6266697995755602,30.781544563630714
25,0.5705096108228771,38.546817515258475
26,0.5588766615928153,34.37345113313791
27,0.004024132531677216,43.67107238165203
28,0.318724226195642,48.78047130925191
29,0.15608202963991002,29.766761174322813
30,0.6926772529086069,27.114287139921814
31,0.6320863705037769,44.83480129018575
32,0.05151176755168252,45.68168653986376
33,0.854623545256673,26.449273449896406
34,0.004076289321303883,25.153275479310835
35,0.5044424670302232,48.37638961496799
36,0.6043908114744004,48.33006980483644
37,0.43977065527102344,20.27344273535498
38,0.538221276819291,49.757985665490516
39,0.5354761425393432,38.54469179634354
40,0.4188398186122986,24.360839102599474
41,0.1886038762483767,24.831413653039654
42,0.2433502574538572,39.81153440944227
43,0.11950283636821069,25.981371720737926
44,0.09525788458773177,27.569722722691424
45,0.27481987239992156,26.262031232750857
46,0.8065427185470511,30.680013849538923
47,0.04540094225927105,47.608669799983595
48,0.834099020852842,40.342258389640776
49,0.6859107290664305,31.406117885702265
